;name;time_series_length;window_length;num_of_anomalies;ts_comparison_name;mmd_value;dwt_value;shapelet_similarity
38;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS44_data.out;0.8086040833721075;681307.091;1.0
39;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS45_data.out;0.8097008392410968;2643251.555;1.0
40;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS46_data.out;0.8126334392357663;7404612.896;1.0
41;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS47_data.out;0.8125163692407751;3522352.756;1.0
42;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS48_data.out;0.811795731714868;3486675.532;1.0
43;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS49_data.out;0.8084179354335197;801881.545;1.0
44;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS4_data.out;0.8118990630163789;3793424.019;1.0
45;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS50_data.out;0.8126676151784772;5285825.999;1.0
46;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS51_data.out;0.8125744877318539;6985926.052;1.0
47;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS52_data.out;0.8115289022639693;1394083.789;1.0
48;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS53_data.out;0.8121554169726585;2768954.327;1.0
49;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS54_data.out;0.8108561552032381;2064767.71;1.0
50;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS55_data.out;0.8103130824853446;3717209.646;1.0
51;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS56_data.out;0.8127628624234378;3494908.13;1.0
52;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS57_data.out;0.8127345368420078;4785944.06;1.0
53;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS58_data.out;0.8080690905758061;1829554.802;1.0
54;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS59_data.out;0.8115410676945025;1588985.345;1.0
55;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS5_data.out;0.8126044048562485;4217108.876;1.0
56;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS60_data.out;0.8126384782331777;5231960.66;1.0
57;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS61_data.out;0.811670484125574;5696104.482;1.0
58;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS62_data.out;0.8126444055213469;5273529.063;1.0
59;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS63_data.out;0.8127152470933827;3247375.765;1.0
60;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS64_data.out;0.8028763781309477;253888.383;1.0
61;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS65_data.out;0.8105672534121003;1429275.484;1.0
62;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS66_data.out;0.8097555311950616;1394756.573;1.0
63;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS67_data.out;0.8126309275716311;5533959.155;1.0
64;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS68_data.out;0.8122167672976169;1796690.228;1.0
65;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS69_data.out;0.8049206563501408;268155.374;1.0
66;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS6_data.out;0.8004414994134715;240153.218;1.0
67;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS70_data.out;0.8126044113766919;6992292.767;1.0
68;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS71_data.out;0.813106341454579;1919970.105;1.0
69;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS72_data.out;0.8118297003099203;4988537.831;1.0
70;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS73_data.out;0.809656826859082;217626.391;1.0
71;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS74_data.out;0.8126427593084309;5387081.354;1.0
72;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS75_data.out;0.8117244223619314;4918364.756;1.0
73;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS76_data.out;0.8115498102951741;1734987.07;1.0
74;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS77_data.out;0.8059038383542008;466041.259;1.0
75;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS78_data.out;0.8127605028590322;4154657.875;1.0
76;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS79_data.out;0.8125103006420262;4432902.716;1.0
77;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS7_data.out;0.8095176670994659;513767.648;1.0
78;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS80_data.out;0.8126452213547123;5305505.574;1.0
79;MGAB_add_white_noise_05_2.test.out;10000;48;0;YAHOO_add_white_noise_1_YahooA3Benchmark-TS81_data.out;0.8123185350212669;2411645.957;1.0
